,duration10mean,duration20mean,loudness33skew,timbre10dstd,loudness10mean,pitches20dskew,pitches100mean,pitches20dstd,pitches10std,pitches20mean,timbre100mean,timbre10kurt,timbre100dstd,loudness10dskew,pitches33mean,loudness20mean,duration33mean,pitches10mean,loudness20dkurt,loudness33mean
Lana Del Rey - National Anthem,-0.7146330566263007,-0.7146330566262993,-0.9093910058937525,-0.3985235681264917,-0.04818692304044029,0.7127796634684984,0.6049318070569706,1.9686081897647592,1.7877193676899852,0.6049318070569715,-0.6754409571932859,0.3157823117459714,-0.8017718074866481,0.7102038095397312,0.586861383864417,-0.04818692304044029,-0.696031640063243,0.6049318070569715,0.9253600209902142,-0.048444051451304496
Lana Del Rey - Dark Paradise,-0.0961436803675911,-0.0961436803675901,-1.056693713092481,0.4239434837584009,-0.22702001473805092,-0.28552433978239017,0.5847871156958665,-0.5514178741268169,0.2700720524159296,0.5847871156958665,-0.4058137558966259,-0.4183113918260262,0.14413515677282177,-0.7167269503684712,0.6011197540479318,-0.22702001473805092,-0.10881962539252896,0.5847871156958665,-0.3453849216074475,-0.22815888162270975
Lana Del Rey - Radio,-0.02063321573461541,-0.020633215734614407,-0.7487130090780347,-0.5435994519407781,0.9747262063734461,0.7687496393894406,0.6421163199180189,0.9110839365249699,1.110038659596954,0.6421163199180189,-0.12028074051239945,-0.3464414217006013,-0.9334707504811415,-0.1458801660441398,0.6450165895255041,0.9747262063734459,-0.0033991689074899007,0.6421163199180189,-1.4500409491977027,0.9715161264425878
Lana Del Rey - Carmen,0.3246818428967913,0.32468184289679236,-0.415956581141212,-1.4314666602656236,-0.3734098693432258,-0.20407805805078633,-0.2768019498641718,1.2122554330455828,0.5923321994217239,-0.2768019498641718,-0.8126430707229642,-0.39884996509339904,-0.7147711761641193,-0.29410507073256,-0.2526998695724868,-0.3734098693432258,0.30028873143467794,-0.2768019498641718,-0.2406371696640789,-0.3721716463547405
Lana Del Rey - Million Dollar Man,1.0322022917826845,1.0322022917826845,1.5479231194772554,-1.1373655764983894,0.5168175355410066,1.1734416307863333,-0.09853067200251003,0.4686570362078461,-0.032544983963645774,-0.0985306720025084,0.16127739437071228,-0.3808118493032321,-0.23471730405264732,1.3348876258839177,-0.08816774999853935,0.5168175355410068,0.9741738353941468,-0.09853067200251003,-0.012731076211194145,0.5224331196998437
Lana Del Rey - Summertime Sadness,1.0233735433298603,1.0233735433298603,1.1210748306374152,-1.0364414885697724,-0.24490925322315055,0.8109775189534691,-0.5641749047916323,-1.0721442852698715,-0.8426252863814601,-0.5641749047916332,0.013378739558713111,-0.21795041970421097,-0.886971930572455,1.4275336706475215,-0.5612739333867236,-0.2449092532231501,1.0477432158831483,-0.5641749047916316,-1.8393143638630645,-0.24259051953452673
Lana Del Rey - This Is What Makes Us Girls,-0.565050335561477,-0.5650503355614751,-0.4151165120900041,-0.8012228201716644,0.27859246853863395,1.2442586898282548,0.3479668633094536,0.9133296839619672,0.8428937073910239,0.3479668633094536,0.09353568362297508,-0.3134633694780205,-0.23966621471753471,-0.2432737528959288,0.35041423285787804,0.27859246853863395,-0.550966134608022,0.3479668633094536,0.658871779342588,0.2800343620025114
Lana Del Rey - Without You,0.2668542659825983,0.26685426598259837,-1.0454460794826492,-0.5856445399534272,-0.7085174784244783,0.5491200944960363,-0.35151596112639627,0.8780159688672946,0.7975044600621919,-0.3515159611263971,-0.4522834590122397,0.8272919542323435,-0.9423376507952266,0.7314898957319189,-0.3490934316348211,-0.7085174784244783,0.2692541144719487,-0.3515159611263971,0.801919980594357,-0.7211490081582099
Lana Del Rey - Lolita,1.541554698670577,1.5415546986705781,-0.8780319325057392,-1.3115726848361564,1.20828193754695,-0.24629756645676995,1.1313181367330931,0.197285406092289,0.010528202748564808,1.1313181367330924,0.852251843583166,-0.06713068552353813,-1.421188241928075,-0.8241021924735986,1.1199923144587292,1.20828193754695,1.5269147662046325,1.1313181367330931,1.1750032474290033,1.208327881706392
Lana Del Rey - Lucky Ones,1.97103486195486,1.9710348619548603,-0.870943682371388,-0.5847547119671657,0.5010010868762358,-2.0036842496552665,-0.7718561999492923,-0.5106427335383321,-0.9064904583173444,-0.7718561999492923,0.48173337769201346,-0.5522987561836171,0.47897081386883644,-0.7527736610929133,-0.7535500494890831,0.5010010868762358,1.95512826441126,-0.7718561999492931,-0.37828421641997034,0.504375529651879
